PassageiroID,Classe,Sexo,Idade,IrmaoConj,PaiFilho,Tarifa,Embarque,Survived
892,3,0,34.5,0,0,7.8292,Q,0
893,3,1,47,1,0,7,S,1
894,2,0,62,0,0,9.6875,Q,0
895,3,0,27,0,0,8.6625,S,0
896,3,1,22,1,1,12.2875,S,1
897,3,0,14,0,0,9.225,S,0
898,3,1,30,0,0,7.6292,Q,1
899,2,0,26,1,1,29,S,0
900,3,1,18,0,0,7.2292,C,1
901,3,0,21,2,0,24.15,S,0
902,3,0,,0,0,7.8958,S,0
903,1,0,46,0,0,26,S,0
904,1,1,23,1,0,82.2667,S,1
905,2,0,63,1,0,26,S,0
906,1,1,47,1,0,61.175,S,1
907,2,1,24,1,0,27.7208,C,1
908,2,0,35,0,0,12.35,Q,0
909,3,0,21,0,0,7.225,C,0
910,3,1,27,1,0,7.925,S,1
911,3,1,45,0,0,7.225,C,1
912,1,0,55,1,0,59.4,C,0
913,3,0,9,0,1,3.1708,S,0
914,1,1,,0,0,31.6833,S,1
915,1,0,21,0,1,61.3792,C,0
916,1,1,48,1,3,262.375,C,1
917,3,0,50,1,0,14.5,S,0
918,1,1,22,0,1,61.9792,C,1
919,3,0,22.5,0,0,7.225,C,0
920,1,0,41,0,0,30.5,S,0
921,3,0,,2,0,21.6792,C,0
922,2,0,50,1,0,26,S,0
923,2,0,24,2,0,31.5,S,0
924,3,1,33,1,2,20.575,S,1
925,3,1,,1,2,23.45,S,1
926,1,0,30,1,0,57.75,C,0
927,3,0,18.5,0,0,7.2292,C,0
928,3,1,,0,0,8.05,S,1
929,3,1,21,0,0,8.6625,S,1
930,3,0,25,0,0,9.5,S,0
931,3,0,,0,0,56.4958,S,0
932,3,0,39,0,1,13.4167,C,0
933,1,0,,0,0,26.55,S,0
934,3,0,41,0,0,7.85,S,0
935,2,1,30,0,0,13,S,1
936,1,1,45,1,0,52.5542,S,1
937,3,0,25,0,0,7.925,S,0
938,1,0,45,0,0,29.7,C,0
939,3,0,,0,0,7.75,Q,0
940,1,1,60,0,0,76.2917,C,1
941,3,1,36,0,2,15.9,S,1
942,1,0,24,1,0,60,S,0
943,2,0,27,0,0,15.0333,C,0
944,2,1,20,2,1,23,S,1
945,1,1,28,3,2,263,S,1
946,2,0,,0,0,15.5792,C,0
947,3,0,10,4,1,29.125,Q,0
948,3,0,35,0,0,7.8958,S,0
949,3,0,25,0,0,7.65,S,0
950,3,0,,1,0,16.1,S,0
951,1,1,36,0,0,262.375,C,1
952,3,0,17,0,0,7.8958,S,0
953,2,0,32,0,0,13.5,S,0
954,3,0,18,0,0,7.75,S,0
955,3,1,22,0,0,7.725,Q,1
956,1,0,13,2,2,262.375,C,0
957,2,1,,0,0,21,S,1
958,3,1,18,0,0,7.8792,Q,1
959,1,0,47,0,0,42.4,S,0
960,1,0,31,0,0,28.5375,C,0
961,1,1,60,1,4,263,S,1
962,3,1,24,0,0,7.75,Q,1
963,3,0,21,0,0,7.8958,S,0
964,3,1,29,0,0,7.925,S,1
965,1,0,28.5,0,0,27.7208,C,0
966,1,1,35,0,0,211.5,C,1
967,1,0,32.5,0,0,211.5,C,0
968,3,0,,0,0,8.05,S,0
969,1,1,55,2,0,25.7,S,1
970,2,0,30,0,0,13,S,0
971,3,1,24,0,0,7.75,Q,1
972,3,0,6,1,1,15.2458,C,0
973,1,0,67,1,0,221.7792,S,0
974,1,0,49,0,0,26,S,0
975,3,0,,0,0,7.8958,S,0
976,2,0,,0,0,10.7083,Q,0
977,3,0,,1,0,14.4542,C,0
978,3,1,27,0,0,7.8792,Q,1
979,3,1,18,0,0,8.05,S,1
980,3,1,,0,0,7.75,Q,1
981,2,0,2,1,1,23,S,0
982,3,1,22,1,0,13.9,S,1
983,3,0,,0,0,7.775,S,0
984,1,1,27,1,2,52,S,1
985,3,0,,0,0,8.05,S,0
986,1,0,25,0,0,26,C,0
987,3,0,25,0,0,7.7958,S,0
988,1,1,76,1,0,78.85,S,1
